"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"488833","google/auto",false,"1814","11","65","1176","Java","main","Apache License 2.0",,"341","10342","78","37858","2013-05-22T09:41:56","2024-03-19T11:27:44","2024-03-20T08:27:28","481","70","1240","13","7447","46876","11253","[{""blankLines"":4,""codeLines"":30,""commentLines"":13,""language"":""XML""},{""blankLines"":9,""codeLines"":21,""commentLines"":1,""language"":""Bourne Shell""},{""blankLines"":1,""codeLines"":4,""commentLines"":0,""language"":""Properties""},{""blankLines"":117,""codeLines"":1775,""commentLines"":181,""language"":""Maven""},{""blankLines"":7,""codeLines"":27,""commentLines"":18,""language"":""Kotlin""},{""blankLines"":320,""codeLines"":808,""commentLines"":292,""language"":""Velocity Template Language""},{""blankLines"":5986,""codeLines"":40734,""commentLines"":10746,""language"":""Java""},{""blankLines"":4,""codeLines"":114,""commentLines"":1,""language"":""YAML""},{""blankLines"":999,""codeLines"":3363,""commentLines"":1,""language"":""Markdown""}]","2024-03-19T11:27:31","cde6cefcc36324945482ed625d6151e5cecaed0a",true,false,false,false,"{""Java"":2166358,""Kotlin"":1675,""Shell"":928}","cla: no;cla: yes;component: *;component: common;component: factory;component: service;component: value;dependencies;github_actions;internal-sync;java;p0;p1;p2;p3;p4;status: accepted;status: duplicate;status: fixed;status: imported;status: invalid;status: needs more information;status: wontfix;type: task;type=addition;type=api-docs;type=defect;type=documentation;type=enhancement;type=other",""
"3967866","archivebox/archivebox",false,"3502","4","25","1059","Python","main","MIT License","https://archivebox.io","173","19383","106","8079","2017-05-05T08:50:14","2024-03-21T07:31:48","2024-03-22T07:10:06","843","145","368","3","3787","20237","1694","[{""blankLines"":122,""codeLines"":394,""commentLines"":224,""language"":""YAML""},{""blankLines"":0,""codeLines"":2406,""commentLines"":0,""language"":""JSON""},{""blankLines"":7,""codeLines"":43,""commentLines"":0,""language"":""SCSS""},{""blankLines"":34,""codeLines"":166,""commentLines"":97,""language"":""Dockerfile""},{""blankLines"":1,""codeLines"":10,""commentLines"":2,""language"":""Bourne Again Shell""},{""blankLines"":19,""codeLines"":126,""commentLines"":17,""language"":""TOML""},{""blankLines"":0,""codeLines"":16,""commentLines"":0,""language"":""INI""},{""blankLines"":442,""codeLines"":4037,""commentLines"":20,""language"":""HTML""},{""blankLines"":2454,""codeLines"":10290,""commentLines"":1074,""language"":""Python""},{""blankLines"":48,""codeLines"":371,""commentLines"":10,""language"":""CSS""},{""blankLines"":1,""codeLines"":55,""commentLines"":0,""language"":""Text""},{""blankLines"":0,""codeLines"":163,""commentLines"":5,""language"":""JavaScript""},{""blankLines"":476,""codeLines"":1378,""commentLines"":52,""language"":""Markdown""},{""blankLines"":7,""codeLines"":43,""commentLines"":0,""language"":""Sass""},{""blankLines"":176,""codeLines"":739,""commentLines"":193,""language"":""Bourne Shell""}]","2024-03-21T07:31:48","1d49bee90bcf6a0b04905266f3e7e73306ed6f9c",true,false,false,false,"{""Python"":499661,""HTML"":417828,""Shell"":43545,""Dockerfile"":14699,""CSS"":8208,""SCSS"":764}","dependencies;expected: maybe someday;expected: next release;expected: release after next;expected: unlikely unless contributed;good first ticket;help wanted;javascript;python;size: easy;size: hard;size: medium;status: backlog;status: blocked;status: done;status: idea-phase;status: needs followup;status: wip;status: wontfix;touches: api/cli/user interface;touches: configuration;touches: data/schema/architecture;touches: dependencies/packaging;touches: docs;touches: js;type: bug report;type: enhancement;type: refactor;type: support;why: functionality;why: performance;why: security","archivebox;backups;bookmark-archiver;browser-bookmarks;chromium;digipres;firefox;headless-browser;internet-archiving;pinboard;pocket;python;rss;self-hosted;singlefile;warc;wayback-machine;web-archiving;wget;youtube-dl"
"4096142","typestack/class-validator",false,"1082","4","5","755","TypeScript","develop","MIT License",,"63","10384","107","5803","2015-10-03T01:27:09","2024-03-21T11:33:54","2024-03-21T04:06:02","961","216","1442","29","2262","23591","1442","[{""blankLines"":0,""codeLines"":214,""commentLines"":1,""language"":""YAML""},{""blankLines"":376,""codeLines"":1127,""commentLines"":0,""language"":""Markdown""},{""blankLines"":1885,""codeLines"":10470,""commentLines"":1441,""language"":""TypeScript""},{""blankLines"":1,""codeLines"":32,""commentLines"":0,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":11748,""commentLines"":0,""language"":""JSON""}]","2024-03-21T09:33:47","32bbd7d58bcb3cd0ae86dc32258e7d85c84d0f56",false,false,false,false,"{""TypeScript"":427117,""JavaScript"":819}","comp: validator.js;dependencies;flag: breaking change;flag: needs discussion;flag: needs refactor;flag: schema-based-validation;priority: high;priority: low;status: awaiting answer;status: blocked;status: cannot reproduce;status: done/released;status: duplicate;status: fixed;status: has pr;status: invalid / expired;status: needs triage;status: superset by another;status: wontfix;type: discussion;type: documentation;type: feature;type: fix;type: question","decorators;typescript;validation;validator"
"4112091","amplication/amplication",false,"23060","282","170","1345","TypeScript","master","Other","https://amplication.com","90","13222","248","368520","2020-05-10T07:41:49","2024-03-22T09:39:59","2024-03-22T07:22:23","3377","661","4718","34","22646","365078","5180","[{""blankLines"":306,""codeLines"":878,""commentLines"":406,""language"":""SQL""},{""blankLines"":1525,""codeLines"":9429,""commentLines"":86,""language"":""SCSS""},{""blankLines"":152,""codeLines"":252,""commentLines"":102,""language"":""Dockerfile""},{""blankLines"":5,""codeLines"":177370,""commentLines"":0,""language"":""JSON""},{""blankLines"":257,""codeLines"":1994,""commentLines"":49,""language"":""GraphQL""},{""blankLines"":17787,""codeLines"":158443,""commentLines"":4249,""language"":""TypeScript""},{""blankLines"":0,""codeLines"":3,""commentLines"":0,""language"":""Text""},{""blankLines"":0,""codeLines"":1,""commentLines"":2,""language"":""TOML""},{""blankLines"":1,""codeLines"":2,""commentLines"":0,""language"":""DOS Batch""},{""blankLines"":1472,""codeLines"":9105,""commentLines"":77,""language"":""Sass""},{""blankLines"":38,""codeLines"":273,""commentLines"":75,""language"":""JavaScript""},{""blankLines"":103,""codeLines"":617,""commentLines"":10,""language"":""CSS""},{""blankLines"":176,""codeLines"":1806,""commentLines"":34,""language"":""YAML""},{""blankLines"":796,""codeLines"":1914,""commentLines"":21,""language"":""Markdown""},{""blankLines"":14,""codeLines"":42,""commentLines"":3,""language"":""Bourne Shell""},{""blankLines"":13,""codeLines"":522,""commentLines"":66,""language"":""HTML""},{""blankLines"":1,""codeLines"":2427,""commentLines"":0,""language"":""SVG""}]","2024-03-21T11:20:35","4dcad9d4e58498bf444930fd302afce4dd194acb",true,false,false,false,"{""TypeScript"":5598725,""SCSS"":220180,""HTML"":49562,""CSS"":39671,""HCL"":38923,""JavaScript"":14216,""Dockerfile"":11908,""Smarty"":4982,""PLpgSQL"":3334,""Shell"":1714,""Batchfile"":31}","@amplication/docs;@amplication/notifications-service;app:amplication-build-manager;app:amplication-client;app:amplication-git-pull-request-service;app:amplication-git-pull-service;app:amplication-git-push-webhook-service;app:amplication-plugin-api;app:amplication-server;app:amplication-storage-gateway;app:build-manager;app:client;app:data-service-generator;app:data-service-generator-catalog;app:data-service-generator-catalog-admin;app:git-pull-request-service;app:git-pull-service;app:git-push-webhook-service;app:git-sync-manager;app:gpt-gateway;app:gpt-gateway-admin;app:local-data-service-generator-controller;app:notification-service;app:plugin-api;app:server;app:storage-gateway;ci\cd;cli;code generation;code sync;devex;dift;documentation;epic;epic: aws codecommit;epic: bi;epic: bitbucket;epic: custom types;epic: db schema;epic: dsg versioning;epic: git smart sync;epic: migration to nx;epic: new ui;epic: notifications;epic: paid plans;epic: plugins;epic: project level plugins;epic: security;epic: service creation;epic: storage resource;epic: testing automation;epic: ux/ui;first-timers;generated server;git;good first issue;hacktoberfest-accepted;ignore-from-release-notes;impact: branding;impact: compliance;impact: data & analytics;impact: differentiation;impact: market expansion;impact: monetization;impact: productivity;impact: quality;impact: user experience;impact: value proposition;in-progress;javascript;lib:@amplication/nx-tools;lib:amplication-code-gen-types;lib:amplication-prisma-db;lib:billing-types;lib:graphql-error-codes;lib:schema-registry;lib:ui-design-system;lib:util-code-gen-utils;lib:util-dsg-utils;lib:util-git;lib:util-json;lib:util-kafka;lib:util-logging;lib:util-nestjs-kafka;lib:util-nestjs-logging;lib:util-nestjs-tracing;lowcode;nocode;node-tlv;on hold;open to community;pr: do not merge;pr: needs fixes;pr: needs review;priority: critical;priority: high;priority: low;priority: medium;re-opened;sapphire;security;setup;status: accepted;status: approved;status: assigned;status: baking;status: candidate;status: cannot reproduce;status: confirmed;status: duplicate;status: invalid;status: needs information;status: scheduled;status: wontfix;sub-task;tift;type: advocacy;type: bug;type: chore;type: dependencies;type: devops;type: discussion;type: docs;type: enhancement;type: feature request;type: perf;type: question;type: refactor;type: style;type: tech-debt;type: test;type:plugin;under review;ux/ux qa;v2;wip","api;code-generation;graphql;hacktoberfest;javascript;low-code;nestjs;nodejs;prisma;typescript;web"
"6889897","select2/select2",false,"2655","6","29","6288","JavaScript","develop","MIT License","https://select2.org/","722","25770","403","14001","2012-03-04T06:43:12","2024-03-21T06:46:27","2024-03-21T09:54:38","4792","92","1507","32","17856","70256","8999","[{""blankLines"":1017,""codeLines"":4691,""commentLines"":537,""language"":""SCSS""},{""blankLines"":12488,""codeLines"":45533,""commentLines"":7117,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":4,""commentLines"":0,""language"":""SVG""},{""blankLines"":0,""codeLines"":141,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":2,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":1017,""codeLines"":4694,""commentLines"":534,""language"":""Sass""},{""blankLines"":56,""codeLines"":557,""commentLines"":0,""language"":""Twig""},{""blankLines"":1363,""codeLines"":8064,""commentLines"":621,""language"":""CSS""},{""blankLines"":61,""codeLines"":939,""commentLines"":7,""language"":""YAML""},{""blankLines"":1621,""codeLines"":4467,""commentLines"":0,""language"":""Markdown""},{""blankLines"":168,""codeLines"":820,""commentLines"":183,""language"":""PHP""},{""blankLines"":65,""codeLines"":344,""commentLines"":0,""language"":""HTML""}]","2023-11-15T01:07:11","ed1761a7f6e88c8c5d305e7022fecb264d2271ab",false,false,false,false,"{""JavaScript"":168759,""SCSS"":17114,""HTML"":16745}","3.x;4.x;5.x;accessibility;advanced/plugin development;architecture;browser: chrome;browser: firefox;browser: ie;browser: safari;compatibility;confirmed bug;documentation;enhancement;feature: ajax;feature: dropdown;feature: multi-select;feature: placeholders;feature: search;feature: selections;feature: tagging;feature: translation/i18n;good first issue;help wanted;invalid;meta;mobile: android;mobile: ios;performance;status: cannot reproduce;status: duplicate;status: needs additional work;status: needs information;status: out of scope;status: pending pr merge;status: possible bug (unconfirmed);status: resolved;status: stale;status: wontfix;styling;support: troubleshooting;support: usage question","hacktoberfest;javascript;jquery;select2"
"7791443","mochajs/mocha",false,"3631","33","78","2987","JavaScript","master","MIT License","https://mochajs.org","397","22399","422","23447","2011-03-07T06:44:25","2024-03-18T06:59:15","2024-03-19T06:41:37","2961","185","2093","42","6484","76671","6109","[{""blankLines"":0,""codeLines"":40096,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":1,""commentLines"":1,""language"":""TypeScript""},{""blankLines"":4363,""codeLines"":29804,""commentLines"":5899,""language"":""JavaScript""},{""blankLines"":14,""codeLines"":526,""commentLines"":18,""language"":""YAML""},{""blankLines"":8,""codeLines"":141,""commentLines"":1,""language"":""Liquid""},{""blankLines"":1864,""codeLines"":4150,""commentLines"":5,""language"":""Markdown""},{""blankLines"":3,""codeLines"":485,""commentLines"":4,""language"":""SVG""},{""blankLines"":4,""codeLines"":10,""commentLines"":8,""language"":""TOML""},{""blankLines"":224,""codeLines"":964,""commentLines"":173,""language"":""CSS""},{""blankLines"":2,""codeLines"":10,""commentLines"":0,""language"":""INI""},{""blankLines"":2,""codeLines"":8,""commentLines"":0,""language"":""CoffeeScript""},{""blankLines"":0,""codeLines"":476,""commentLines"":0,""language"":""HTML""}]","2024-03-12T05:18:58","a5b565289b40a839af086b13fb369e04e205ed4b",true,false,false,false,"{""JavaScript"":1106663,""CSS"":8552,""HTML"":462,""CoffeeScript"":328,""TypeScript"":130}","area: async;area: browser;area: documentation;area: integrations;area: node.js;area: parallel mode;area: reporters;area: repository tooling;area: security;area: usability;area: website;area: windows;core-team;dependencies;duplicate;faq;future;good first issue;invalid;landed-on-v6.2.x;landed-on-v7.1.x;nice to have;run-browser-test;semver-major;semver-minor;semver-patch;stale;status: accepting prs;status: blocked;status: in discussion;status: in triage;status: needs mcve;status: needs review;status: needs upstream fix;status: no reproduction;status: waiting for author;status: wontfix;type: bug;type: chore;type: cleanup;type: discussion;type: feature;type: performance;type: question","bdd;browser;javascript;mocha;mochajs;node;nodejs;tdd;test;test-framework;testing;testing-tools"
"8450163","freecodecamp/freecodecamp",false,"35116","5","0","34932","TypeScript","main","BSD 3-Clause New or Revised License","http://contribute.freecodecamp.org/","8505","385164","391","424874","2014-12-24T05:49:19","2024-03-19T10:15:23","2024-03-19T11:21:02","17732","274","35712","71","1279484","5922070","13012","[{""blankLines"":2,""codeLines"":11,""commentLines"":5,""language"":""JSX""},{""blankLines"":2424,""codeLines"":30662,""commentLines"":1140,""language"":""JavaScript""},{""blankLines"":4035,""codeLines"":34574,""commentLines"":257,""language"":""YAML""},{""blankLines"":1264992,""codeLines"":5669893,""commentLines"":8758,""language"":""Markdown""},{""blankLines"":2,""codeLines"":55,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":10,""codeLines"":33,""commentLines"":2,""language"":""SVG""},{""blankLines"":20,""codeLines"":33,""commentLines"":0,""language"":""EJS""},{""blankLines"":958,""codeLines"":6760,""commentLines"":234,""language"":""CSS""},{""blankLines"":3,""codeLines"":13,""commentLines"":0,""language"":""INI""},{""blankLines"":89,""codeLines"":301,""commentLines"":0,""language"":""Text""},{""blankLines"":3,""codeLines"":36,""commentLines"":0,""language"":""HTML""},{""blankLines"":0,""codeLines"":119745,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":3,""commentLines"":0,""language"":""Less""},{""blankLines"":6910,""codeLines"":59793,""commentLines"":2580,""language"":""TypeScript""},{""blankLines"":36,""codeLines"":158,""commentLines"":36,""language"":""Dockerfile""}]","2024-03-18T06:51:02","c1137b0900ad098fee2fca430d11f69dfc909d3b",false,false,false,false,"{""TypeScript"":2168761,""JavaScript"":951436,""CSS"":195850,""Dockerfile"":8604,""MDX"":5388,""EJS"":2153,""HTML"":1272,""Shell"":1204,""Less"":36}","bookmark;crowdin-sync;first timers only;front 3 2023;hacktoberfest;hacktoberfest-accepted;help wanted;invalid;new english course;new javascript course;new python course;odin project;other: bike shedding;other: decayed;other: device specific;platform: api;platform: coderadio;platform: contribute;platform: forum;platform: learn;platform: news;platform: search;renovate;scope: a11y;scope: curriculum;scope: docs;scope: i18n;scope: tools/scripts;scope: ui;spam;status: blocked;status: discussing;status: flagged internally;status: merge conflict;status: on the roadmap;status: pr in works;status: resolved/shipping;status: waiting review;status: waiting triage;status: waiting update;status: wontfix;type: bug;type: feature request;type: showstopper","careers;certification;community;curriculum;d3;education;freecodecamp;hacktoberfest;javascript;learn-to-code;math;nodejs;nonprofits;programming;react;teachers"
